" Monthly averaged odata for station MLO       
"
""
" /data/instrument/database_active//curves///mloo_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the o concentration in per-meg units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
2001, 12,        0, 2001.9562,  -280.62,  -282.34,    -280.73,  -282.45,    -280.62,  -282.34
2002,  1,        0, 2002.0411,  -284.72,  -277.17,    -291.45,  -283.90,    -284.72,  -277.17
2002,  2,        0, 2002.1260,  -288.00,  -277.28,    -296.12,  -285.40,    -288.00,  -277.28
2002,  3,        0, 2002.2027,  -301.70,  -286.84,    -301.68,  -286.82,    -301.70,  -286.84
2002,  4,        0, 2002.2877,  -300.82,  -279.22,    -310.06,  -288.47,    -300.82,  -279.22
2002,  5,        0, 2002.3699,  -312.26,  -291.59,    -310.78,  -290.12,    -312.26,  -291.59
2002,  6,        0, 2002.4548,  -303.14,  -292.85,    -302.18,  -291.89,    -303.14,  -292.85
2002,  7,        0, 2002.5370,  -290.33,  -293.65,    -290.32,  -293.64,    -290.33,  -293.65
2002,  8,        0, 2002.6219,  -278.82,  -296.27,    -278.05,  -295.49,    -278.82,  -296.27
2002,  9,        0, 2002.7068,  -270.84,  -296.14,    -272.07,  -297.37,    -270.84,  -296.14
2002, 10,        0, 2002.7890,  -279.24,  -302.37,    -276.08,  -299.21,    -279.24,  -302.37
2002, 11,        0, 2002.8740,  -289.36,  -303.17,    -287.31,  -301.13,    -289.36,  -303.17
2002, 12,        0, 2002.9562,  -276.89,  -278.61,    -301.27,  -302.99,    -276.89,  -278.61
2003,  1,        0, 2003.0411,  -308.53,  -300.98,    -312.47,  -304.92,    -308.53,  -300.98
2003,  2,        0, 2003.1260,  -320.70,  -309.99,    -317.55,  -306.83,    -320.70,  -309.99
2003,  3,        0, 2003.2027,  -324.24,  -309.38,    -323.38,  -308.53,    -324.24,  -309.38
2003,  4,        0, 2003.2877,  -338.93,  -317.33,    -331.96,  -310.36,    -338.93,  -317.33
2003,  5,        0, 2003.3699,  -344.87,  -324.20,    -332.72,  -312.06,    -344.87,  -324.20
2003,  6,        0, 2003.4548,  -322.77,  -312.48,    -324.04,  -313.75,    -322.77,  -312.48
2003,  7,        0, 2003.5370,  -310.98,  -314.30,    -312.01,  -315.33,    -310.98,  -314.30
2003,  8,        0, 2003.6219,  -302.42,  -319.87,    -299.45,  -316.90,    -302.42,  -319.87
2003,  9,        0, 2003.7068,  -299.80,  -325.10,    -293.12,  -318.42,    -299.80,  -325.10
2003, 10,        0, 2003.7890,  -300.08,  -323.21,    -296.73,  -319.87,    -300.08,  -323.21
2003, 11,        0, 2003.8740,  -300.11,  -313.92,    -307.53,  -321.34,    -300.11,  -313.92
2003, 12,        0, 2003.9562,  -314.87,  -316.58,    -321.06,  -322.78,    -314.87,  -316.58
2004,  1,        0, 2004.0410,  -323.98,  -316.44,    -331.83,  -324.29,    -323.98,  -316.44
