" Monthly averaged cdata for station MLO       
"
""
" /data/instrument/database_active//curves///mloc_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the c concentration in ppm units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
2003,  5,        0, 2003.3699,   379.68,   376.34,     379.02,   375.68,     379.68,   376.34
2003,  6,        0, 2003.4548,   378.29,   375.90,     378.27,   375.88,     378.29,   375.90
2003,  7,        0, 2003.5370,   376.81,   376.36,     376.52,   376.07,     376.81,   376.36
2003,  8,        0, 2003.6219,   375.07,   376.99,     374.33,   376.24,     375.07,   376.99
2003,  9,        0, 2003.7068,   373.22,   376.79,     372.84,   376.40,     373.22,   376.79
2003, 10,        0, 2003.7890,   373.16,   376.57,     373.13,   376.55,     373.16,   376.57
2003, 11,        0, 2003.8740,   374.77,   376.80,     374.66,   376.68,     374.77,   376.80
2003, 12,        0, 2003.9562,   375.81,   376.49,     376.13,   376.81,     375.81,   376.49
2004,  1,        0, 2004.0410,   376.85,   376.55,     377.24,   376.93,     376.85,   376.55
2004,  2,        0, 2004.1257,   377.39,   376.52,     377.92,   377.05,     377.39,   376.52
2004,  3,        0, 2004.2049,   379.61,   378.04,     378.73,   377.16,     379.61,   378.04
2004,  4,        0, 2004.2896,   380.94,   378.14,     380.07,   377.27,     380.94,   378.14
2004,  5,        0, 2004.3716,   380.41,   377.06,     380.73,   377.39,     380.41,   377.06
2004,  6,        0, 2004.4563,   380.00,   377.64,     379.88,   377.51,     380.00,   377.64
2004,  7,        0, 2004.5383,   376.77,   376.35,     378.06,   377.64,     376.77,   376.35
2004,  8,        0, 2004.6230,   375.82,   377.76,     375.84,   377.78,     375.82,   377.76
2004,  9,        0, 2004.7077,   374.24,   377.81,     374.37,   377.94,     374.24,   377.81
2004, 10,        0, 2004.7896,   374.43,   377.84,     374.69,   378.10,     374.43,   377.84
2004, 11,        0, 2004.8743,   376.29,   378.31,     376.25,   378.27,     376.29,   378.31
2004, 12,        0, 2004.9563,   377.50,   378.18,     377.78,   378.45,     377.50,   378.18
2005,  1,        0, 2005.0411,   378.79,   378.48,     378.96,   378.65,     378.79,   378.48
2005,  2,        0, 2005.1260,   380.15,   379.27,     379.73,   378.85,     380.15,   379.27
2005,  3,        0, 2005.2027,   379.94,   378.40,     380.59,   379.04,     379.94,   378.40
2005,  4,        0, 2005.2877,   382.66,   379.90,     382.03,   379.26,     382.66,   379.90
2005,  5,        0, 2005.3699,   382.04,   378.70,     382.81,   379.47,     382.04,   378.70
2005,  6,        0, 2005.4548,   382.18,   379.79,     382.08,   379.68,     382.18,   379.79
2005,  7,        0, 2005.5370,   381.18,   380.72,     380.34,   379.89,     381.18,   380.72
2005,  8,        0, 2005.6219,   378.26,   380.17,     378.19,   380.10,     378.26,   380.17
2005,  9,        0, 2005.7068,   376.96,   380.52,     376.74,   380.30,     376.96,   380.52
2005, 10,        0, 2005.7890,   377.11,   380.52,     377.08,   380.49,     377.11,   380.52
2005, 11,        0, 2005.8740,   378.54,   380.56,     378.66,   380.69,     378.54,   380.56
2005, 12,        0, 2005.9562,   380.06,   380.74,     380.19,   380.87,     380.06,   380.74
2006,  1,        0, 2006.0411,   -99.99,     0.00,     381.36,   381.05,     381.36,   381.05
2006,  2,        0, 2006.1260,   -99.99,     0.00,     382.10,   381.22,     382.10,   381.22
2006,  3,        0, 2006.2027,   383.36,   381.82,     382.92,   381.38,     383.36,   381.82
2006,  4,        0, 2006.2877,   384.65,   381.88,     384.31,   381.54,     384.65,   381.88
2006,  5,        0, 2006.3699,   385.56,   382.22,     385.03,   381.69,     385.56,   382.22
2006,  6,        0, 2006.4548,   384.19,   381.80,     384.23,   381.84,     384.19,   381.80
2006,  7,        0, 2006.5370,   382.51,   382.06,     382.44,   381.98,     382.51,   382.06
2006,  8,        0, 2006.6219,   380.25,   382.16,     380.22,   382.13,     380.25,   382.16
2006,  9,        0, 2006.7068,   377.85,   381.41,     378.71,   382.28,     377.85,   381.41
2006, 10,        0, 2006.7890,   379.04,   382.45,     379.02,   382.43,     379.04,   382.45
2006, 11,        0, 2006.8740,   380.30,   382.33,     380.56,   382.59,     380.30,   382.33
2006, 12,        0, 2006.9562,   381.79,   382.47,     382.07,   382.75,     381.79,   382.47
2007,  1,        0, 2007.0411,   382.64,   382.33,     383.23,   382.92,     382.64,   382.33
2007,  2,        0, 2007.1260,   384.41,   383.53,     383.98,   383.10,     384.41,   383.53
2007,  3,        0, 2007.2027,   384.69,   383.15,     384.80,   383.26,     384.69,   383.15
2007,  4,        0, 2007.2877,   386.62,   383.86,     386.21,   383.44,     386.62,   383.86
2007,  5,        0, 2007.3699,   386.73,   383.38,     386.96,   383.61,     386.73,   383.38
2007,  6,        0, 2007.4548,   386.08,   383.69,     386.18,   383.79,     386.08,   383.69
2007,  7,        0, 2007.5370,   384.78,   384.33,     384.41,   383.96,     384.78,   384.33
2007,  8,        0, 2007.6219,   381.99,   383.90,     382.22,   384.13,     381.99,   383.90
2007,  9,        0, 2007.7068,   381.08,   384.64,     380.74,   384.30,     381.08,   384.64
2007, 10,        0, 2007.7890,   381.04,   384.45,     381.05,   384.46,     381.04,   384.45
2007, 11,        0, 2007.8740,   382.52,   384.54,     382.60,   384.62,     382.52,   384.54
2007, 12,        0, 2007.9562,   383.99,   384.67,     384.10,   384.78,     383.99,   384.67
2008,  1,        0, 2008.0410,   385.89,   385.58,     385.25,   384.94,     385.89,   385.58
2008,  2,        0, 2008.1257,   385.57,   384.69,     385.97,   385.09,     385.57,   384.69
2008,  3,        0, 2008.2049,   387.15,   385.58,     386.81,   385.24,     387.15,   385.58
2008,  4,        0, 2008.2896,   387.17,   384.38,     388.19,   385.39,     387.17,   384.38
2008,  5,        0, 2008.3716,   388.57,   385.23,     388.88,   385.54,     388.57,   385.23
2008,  6,        0, 2008.4563,   388.51,   386.15,     388.06,   385.70,     388.51,   386.15
2008,  7,        0, 2008.5383,   386.69,   386.27,     386.26,   385.84,     386.69,   386.27
2008,  8,        0, 2008.6230,   383.85,   385.79,     384.04,   385.98,     383.85,   385.79
2008,  9,        0, 2008.7077,   383.08,   386.65,     382.54,   386.11,     383.08,   386.65
2008, 10,        0, 2008.7896,   382.93,   386.33,     382.83,   386.23,     382.93,   386.33
2008, 11,        0, 2008.8743,   384.27,   386.29,     384.33,   386.35,     384.27,   386.29
2008, 12,        0, 2008.9563,   385.56,   386.24,     385.80,   386.47,     385.56,   386.24
