" Monthly averaged cdata for station CGO       
"
""
" /data/instrument/database_active//curves///cgoc_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the c concentration in ppm units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
2005,  2,        0, 2005.1260,   375.24,   375.61,     375.52,   375.89,     375.24,   375.61
2005,  3,        0, 2005.2027,   375.54,   376.03,     375.58,   376.07,     375.54,   376.03
2005,  4,        0, 2005.2877,   375.71,   376.13,     375.86,   376.28,     375.71,   376.13
2005,  5,        0, 2005.3699,   376.28,   376.57,     376.19,   376.48,     376.28,   376.57
2005,  6,        0, 2005.4548,   377.18,   377.28,     376.58,   376.68,     377.18,   377.28
2005,  7,        0, 2005.5370,   377.23,   376.98,     377.13,   376.88,     377.23,   376.98
2005,  8,        0, 2005.6219,   377.78,   377.25,     377.59,   377.07,     377.78,   377.25
2005,  9,        0, 2005.7068,   377.59,   377.06,     377.78,   377.25,     377.59,   377.06
2005, 10,        0, 2005.7890,   377.74,   377.30,     377.85,   377.42,     377.74,   377.30
2005, 11,        0, 2005.8740,   377.77,   377.57,     377.79,   377.58,     377.77,   377.57
2005, 12,        0, 2005.9562,   377.56,   377.64,     377.66,   377.74,     377.56,   377.64
2006,  1,        0, 2006.0411,   377.83,   378.06,     377.67,   377.89,     377.83,   378.06
2006,  2,        0, 2006.1260,   377.88,   378.25,     377.67,   378.04,     377.88,   378.25
2006,  3,        0, 2006.2027,   377.94,   378.43,     377.68,   378.16,     377.94,   378.43
2006,  4,        0, 2006.2877,   377.87,   378.29,     377.88,   378.30,     377.87,   378.29
2006,  5,        0, 2006.3699,   378.25,   378.54,     378.13,   378.42,     378.25,   378.54
2006,  6,        0, 2006.4548,   378.35,   378.46,     378.44,   378.55,     378.35,   378.46
2006,  7,        0, 2006.5370,   378.85,   378.60,     378.92,   378.67,     378.85,   378.60
2006,  8,        0, 2006.6219,   379.11,   378.58,     379.34,   378.81,     379.11,   378.58
2006,  9,        0, 2006.7068,   379.31,   378.78,     379.48,   378.95,     379.31,   378.78
2006, 10,        0, 2006.7890,   379.48,   379.04,     379.54,   379.10,     379.48,   379.04
2006, 11,        0, 2006.8740,   379.19,   378.98,     379.47,   379.27,     379.19,   378.98
2006, 12,        0, 2006.9562,   379.32,   379.40,     379.35,   379.44,     379.32,   379.40
2007,  1,        0, 2007.0411,   379.40,   379.62,     379.39,   379.62,     379.40,   379.62
2007,  2,        0, 2007.1260,   379.41,   379.77,     379.44,   379.80,     379.41,   379.77
2007,  3,        0, 2007.2027,   379.74,   380.22,     379.49,   379.98,     379.74,   380.22
